Name,ñºëO,Univ,Dept,Title,Style,Field,Top5,Media,YOG,Lct,journal,authors
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Journal of Economic Inequality,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Strategic Behavioir and the Environment,2
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Economics Bulletin,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Review of Econoics of the Household,2
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Resource and Energy Economics,2
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,World Bank Economic Review,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,World Development,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Journal of Environmental Economics and Management,2
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Journal of Development Economics,5
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Agricultural Water Management,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Games and Economic Behavior,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Economic Theory,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Economic Theory,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Economic Theory,4
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Mathematical Economics,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,International Journal of Game Theory,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Economic Theory,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Theory and Decision,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Theory and Decision,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Social Choice and Welfare,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,International Journal of Economic Theory,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Economic Theory,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Theory and Decision,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Economic Theory,1
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Econometria,2
"HAYASHI, Takashi",ó— ãMéu,Glasgow,Busi,Prof,Theory,Micro,NA,NA,1996,UK,Journal of Mathematical Economics,1
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,Labour Economics,4
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,International Economic Review,2
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,Journal of Economic Theory,2
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,Journal of Economic Theory,1
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,Economic Journal,2
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,Journal of EconomicTheory,2
"WATANABE, Makoto",ìnï” êΩ,Amsterdam,Econ,Asso,Theory,Micro,NA,NA,1996,Euro,Journal of Economic Dynamics and Control,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometric Theory,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Multivariate Analysis,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Statistical Planning and Inference,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Economics Letters,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Annals of the Institute of Statististical Mathematics,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,TEST,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometric Theory,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,EconometricTheory,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometrics Journal,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Multivariate Analysis,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of the Japan Statistical Society,1
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometrica,3
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,3
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometrics Journal,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Stochastic Processes and Their Applications,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Advances in Econometrics,3
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometric Theory,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Economics Letters,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometrica,3
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Business and Economic Statistics,3
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Statistics and Probability Letters,2
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Journal of Econometrics,3
"OTSU, Taisuke",ëÂí√ ë◊âÓ,LSE,Econ,Asso,Theory,Metrics,NA,NA,1996,UK,Econometric Reviews,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of the American Statistical Association,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of the Japan Statistical Society,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of the Royal Statistical Society,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of the Japanese and International Economies,3
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Japanese Economic Review,3
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of International Economics,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Econometrica,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of Business and Economic Statistics,1
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Econometrica,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of Development Economics,2
"KASAHARA, Hiro",ä}å¥ îéçK,UBC,Econ,Asso,Theory,Metrics,NA,NA,1995,Can,Journal of Econometrics,2
"SHIBAYAMA, Katsuyuki",éƒéR x,Kent,Econ,Assi,Both,Macro,NA,NA,1993,UK,Macroeconomics Dynamics,1
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Econometrics Review,2
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Econometrics,3
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Urban Economics,3
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Empirical Finance,2
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Econometrics,3
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Econometrics,3
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Econometrics,3
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Econometric Reviews,4
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Econometrics,2
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Econometrics Journal,3
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Journal of Econometrics,1
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Economics Letters,1
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,NA,NA,1992,UK,Econometrics Journal,2
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Journal of Institutional and Theoretical Economics,3
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Mathematical Social Sciences,1
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Macroeconomics Dynamics,3
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,International Economics,3
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Pacific Economic Review,2
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Journal of Difference Equations and Applications,3
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Asia-Pacific Journal of Accounting and Economics,2
"KUNIEDA, Takuma",ö†é} ëÏê^,CityUHK,Econ,Assi,Both,Macro,NA,NA,1991,Asia,Journal of Mathematical Economics,1
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Agricultural Economics,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Asian Economics,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of African Economics,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Oxford Development Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Oxford Development Studies,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Poverty Alleviation and International Development,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Oxford Bulleting of Economics and Statistics,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Policy Modeling,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,World Development,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Food Policy,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of International Development,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Asian Journal of Agriculture and Development,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Asian Economics,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,World Development,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,World Economy,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Development Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,European Journal of Development Research,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Asian and African Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,International Review of Applied Economics,1
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Applied Economics,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,International Review of Applied Economics,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Economics Letters,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Asian Economics,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,World Development,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Asian and African Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Chinese Economic and Business Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Oxford Development Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Asian and African Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Review of Developmenet Economics,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Oxford Development Studies,2
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Brown Journal of World Affairs,4
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Development Studies,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Journal of Policy Modeling,1
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Applied Economics Letters,3
"IMAI, Katsushi S.",ç°à‰ çé,Manchester,Econ,Asso,Applied,Dev,NA,NA,1990,UK,Statistica and Appliazioni,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,American Economic Journal: Microeconomics,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,Economic Modelling,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,Journal of Labor Economics,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,European Economic Review,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,"Journal of Law, Economics, and Organization",1
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,International Journal of Industrial Organization,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,Journal of International Economics,3
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,American Economic Journal: Microeconomics,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,Journal of the Japanese and International Economies,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,RAND Journal of Economics,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,International Journal of Industrial Organization,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,European Economic Review,2
"MORITA, Hodaka",êXìc ï‰çÇ,UNSW,Busi,Prof,Theory,IO,NA,NA,1985,Aus,Journal of Economics and Management Strategy,2
"NISHIYAMA, Shinichi",êºéR êTàÍ,Lancaster,Econ,Asso,Applied,Macro,NA,NA,1984,UK,Journal of Economic Dynamics and Control,1
"NISHIYAMA, Shinichi",êºéR êTàÍ,Lancaster,Econ,Asso,Applied,Macro,NA,NA,1984,UK,Annual Review of Economics,2
"NISHIYAMA, Shinichi",êºéR êTàÍ,Lancaster,Econ,Asso,Applied,Macro,NA,NA,1984,UK,Journal of Publlic Economics,1
"NISHIYAMA, Shinichi",êºéR êTàÍ,Lancaster,Econ,Asso,Applied,Macro,NA,NA,1984,UK,The Quarterly Journal of Economics,2
